numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199213388S;EA 1210 CENTRE D'ETUDES SUR LE DEVELOPPEMENT DES TERRITOIRES ET L'ENVIRONNEMENT;CEDETE;Active;1992;;Unité propre;21;2;;;;
199213398C;LABORATOIRE D'ANALYSE DES SYSTEMES DE TRAITEMENT DE L'INFORMATION (LASTI);EA1252;Inactive;1992;2003;Unité propre;21;2;;;;
199213400E;LABORATOIRE DE BIOLOGIE BUCCALE;EA1256;Inactive;1992;2003;Unité propre;21;2;;;;
199213404J;Mouvement, Sport, Santé;M2S;Active;1992;;Unité mixte;22;2;;;;
199213408N;LABORATOIRE D'ETUDE ET DE CARACTERISATION DES COMPOSES AMORPHES ET DES POLYMERES;EA1292;Inactive;1992;2003;Unité propre;21;2;;;;
199213411S;INSTITUT D'EMBRYOLOGIE;EA1315;Inactive;1992;2000;Unité propre;21;2;;;;
199213414V;LABORATOIRE DE CHIMIE THERAPEUTIQUE ET DE PHARMACIE CHIMIQUE;EA1322;Inactive;1992;2000;Unité propre;21;2;;;;
199213424F;THEOLOGIE PROTESTANTE;EA1344;Inactive;1992;2008;Unité propre;21;2;;;;
199213437V;CENTRE D'ETUDES ET DE RECHERCHE EN INFORMATIQUE DU CNAM;EA1395;Inactive;1992;2010;Unité propre;21;2;;;;
199213439X;THERMODYNAMIQUE ET AERODYNAMIQUE INDUSTRIELLE;EA1408;Inactive;1992;2002;Unité propre;21;2;;;;
199213446E;CENTRE D'HISTOIRE SOCIALE DE L'ISLAM MEDITERRANEEN;EA1424;Inactive;1992;2013;Unité propre;21;2;200212721Y;I;intégration;2014
199213448G;LABORATOIRE ANGEVIN DE MECANIQUE, PROCEDES ET INNOVATION;EA1427;Active;1992;;Unité propre;21;2;;;;
199213459U;CENTRE D'ANALYSE COMPARATIVE DES SYSTEMES POLITIQUES;EA1459;Inactive;1992;2005;Unité propre;21;2;;;;
199213468D;CENTRES D'ETUDES ET DE RECHERCHE SUR LA CONSTRUCTION ET LE LOGEMENT (CERCOL);EA1476;Inactive;1992;2004;Unité propre;21;2;;;;
199213469E;CENTRE DE RECHERCHES EN DROIT ADMINISTRATIF;CRDA;Active;1992;;Unité propre;21;2;;;;
199213251T;CIVILISATION, LINGUISTIQUE ET LITTERATURE ALLEMANDES;EA852;Inactive;1992;2007;Unité propre;21;2;;;;
199213254W;PHARMACOGÉNÉTIQUE DES MALADIES PARASITAIRES;EA864;Inactive;1992;2007;Unité propre;21;2;;;;
199213257Z;GENIE DES PROCEDES ET PHYSICO-CHIMIE;EA884;Inactive;1992;2003;Unité propre;21;2;200412236M;F;fusion;2004
199213260C;LABORATOIRE DE THEORIE DU DROIT;LTD;Active;1992;;Unité propre;21;2;;;;
199213481T;Équipe Littérature et Culture italiennes;ELCI;Active;1992;;Unité propre;21;2;;;;
199213482U;Groupe de recherche interdisciplinaire sur les processus d'information et de communication;GRIPIC;Active;1992;;Unité propre;21;2;;;;
199213490C;PYSIOPATHOLOGIE DES HEMOPATHIES MALIGNES;EA1529;Inactive;1992;2000;Unité propre;21;2;;;;
199213491D;REPRODUCTION HUMAINE : GENETIQUE ET THERAPEUTIQUE;EA1533;Inactive;1992;2013;Unité propre;21;2;;;;
199213496J;LABORATOIRE DE CYTOPHYSIOLOGIE ET TOXICOLOGIE CELLULAIRE;EA1553;Inactive;1992;2008;Unité propre;21;2;;;;
199213500N;LINGUISTIQUE INTERLANGUES ET LINGUISTIQUE ANGLAISE (LILA);EA1563;Inactive;1992;2004;Unité propre;21;2;;;;
199213501P;SECTEUR INTERDISCIPLINAIRE D'ETUDE DES CIVILISATIONS ET DES LITTERATURES DE LANGUE ANGLAISE (SIECLE);EA1566;Inactive;1992;2006;Unité propre;21;2;"200114781S;200715452V";"E;F";"éclatement;fusion";"2001;2007"
199213503S;CENTRE DE RECHERCHE EN LINGUISTIQUE, LITTERATURES ET CIVILISATIONS ROMANES;EA1570;Inactive;1992;2008;Unité propre;21;2;;;;
199213505U;ESTHÉTIQUE, MUSICOLOGIE, DANSE ET CRÉATIONS MUSICALES;EA1572;Active;1992;;Unité propre;21;2;;;;
199213509Y;LABORATOIRE DES SCIENCES DE L'EDUCATION;EA1576;Inactive;1992;2004;Unité propre;21;2;;;;
199213511A;LITTERATURE ET HISTOIRES;EA1579;Inactive;1992;2013;Unité propre;21;2;201420701V;F;fusion;2014
199213516F;CENTRE D'HISTOIRE SOCIALE ET CULTURELLE DE L'OCCIDENT XIIIEME-XVIIIEME SIECLES;CHISCO;Inactive;1992;2019;Unité propre;21;2;202023392U;R;renouvellement;2020
199213523N;INTERACTIONS CELLULAIRES EN URO- ANDROLOGIE;EA1602;Inactive;1992;2005;Unité propre;21;2;200615366F;F;fusion;2006
199213525R;Etudes sur les Sciences et les Techniques;EST;Active;1992;;Unité propre;21;2;;;;
199213526S;Droit et Sociétés Religieuses;DSR;Active;1992;;Unité propre;21;2;;;;
199213532Y;CENTRE D'HISTOIRE DU DROIT EUROPEEN;EA1620;Inactive;1992;2008;Unité propre;21;2;;;;
199213535B;CENTRE D'ANALYSE DU DISCOURS (CAD);EA1626;Inactive;1992;2008;Unité propre;21;2;;;;
199213536C;LABORATOIRE DE PSYCHOLOGIE (LP);EA1628;Inactive;1992;2000;Unité propre;21;2;"200114687P;200114689S";"E;E";"éclatement;éclatement";"2001;2001"
199213537D;CENTRE D'ETUDES ET DE RECHERCHES ADMINISTRATIVES ET POLITIQUES;CERAP;Inactive;1992;2018;Unité propre;21;2;201923492G;F;fusion;2019
199213539F;CENTRE D'ETUDES POETIQUES;EA1633;Inactive;1992;2001;Unité propre;21;2;;;;
199213542J;EQUIPE ELECTRONIQUE ET RADIOCOMMUNICATIONS;EA1639;Inactive;1992;2006;Unité propre;21;2;;;;
199113555C;BIOMOLECULES ET PHARMACOLOGIE DU DIABETE;EA1677;Inactive;1991;2002;Unité propre;21;2;;;;
