numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199313602V;CENTRE DE RECHERCHE DE L'ARTOIS SUR LES CULTURES ET INTERTEXTUALITES (CERACI);EA1836;Inactive;1993;2005;Unité propre;21;2;;;;
199513607S;LANGUES, CULTURES ET SOCIETES;EA1852;Inactive;1995;2002;Unité propre;21;2;"200314978X;200314979Y;200316057V";"E;E;E";"éclatement;éclatement;éclatement";"2003;2003;2003"
199513608T;Lettres et civilisations étrangères;LCE;Active;1995;;Unité propre;21;2;;;;
199513611W;MEDIAS ET IDENTITES;EA1858;Inactive;1995;2006;Unité mixte;22;2;200715391D;F;fusion;2007
199513615A;MEMOIRE, DISCOURS, IMAGES DE L'ANTIQUITE AUX AVANT-GARDES CONTEMPORAINES;EA1865;Inactive;1995;2006;Unité propre;21;2;200715418H;EF;éclatement - fusion;2007
199513616B;LABORATOIRE INFORMATIQUE DE RECHERCHE SUR LES SYSTEMES INTELLIGENTS ET LEURS APPLICATIONS (LIRSIA);EA1871;Inactive;1995;2002;Unité propre;21;2;;;;
199513622H;DEVELOPPEMENT DES TISSUS DENTAIRES;EA1892;Inactive;1995;2006;Unité propre;21;2;;;;
199513626M;LABORATOIRE GENIE DE PRODUCTION;LGP;Active;1995;;Unité propre;21;2;;;;
199513637Z;CENTRE DE RECHERCHE ET D'ETUDE SUR LES PAYS D'AFRIQUE ORIENTALE (CREPAO);EA1927;Inactive;1995;2010;Unité propre;21;2;;;;
199213329C;LABORATOIRE DES SCIENCES DE L'EAU ET DE L'ENVIRONNEMENT;EA1068;Inactive;1992;2007;Unité propre;21;2;200815559G;EF;éclatement - fusion;2008
199513670K;INSTITUT DE DROIT DE L'ENVIRONNEMENT;EA1998;Inactive;1995;2006;Unité propre;21;2;;;;
199513671L;LABORATOIRE D'ELECTROTECHNIQUE DE MONTPELLIER;EA2015;Inactive;1995;2006;Unité propre;21;2;200711883R;F;fusion;2007
199513672M;LABORATOIRE DE BIOENERGETIQUE FONDAMENTALE ET APPLIQUEE;EA2017;Inactive;1995;2002;Unité propre;21;2;;;;
199513680W;LABORATOIRE DE SCIENCE ECONOMIQUE DE RICHTER (LASER);EA2039;Inactive;1995;2010;Unité propre;21;2;;;;
199513681X;LABORATOIRE GESTION ET COGNITION;EA2043;Inactive;1995;2010;Unité propre;21;2;;;;
199213686R;CENTRE DE RECHERCHE INTERUNIVERSITAIRE SUR L' AMERIQUE LATINE;CRIAL;Active;1992;;Unité propre;21;2;;;;
199613696J;MEDIATEURS CELLULAIRES:INTERACTION CELLULES-CELLULES ET CELLULES-PARASITES;EA2070;Inactive;1996;2003;Unité propre;21;2;"200414212K;200415057D";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
199613702R;HABITER;HABITER;Active;1996;;Unité propre;21;2;;;;
199613709Y;REGULATION DU METABOLISME CELLULAIRE VEGETAL;EA2085;Inactive;1996;2003;Unité propre;21;2;200414213L;F;fusion;2004
199613710Z;UNITE DE RECHERCHE SUR LES  MECANISMES DE LA RESORPTION OSSEUSE;EA2086;Inactive;1996;2007;Unité propre;21;2;200816181H;E;éclatement;2008
199613714D;CENTRE D'ETUDES. DE FORMATION ET DE RECHERCHE EN SCIENCES SOCIALES;EA2090;Inactive;1996;2003;Unité propre;21;2;200415169A;R;renouvellement;2004
199613715E;CENTRE D'ETUDES MEDIEVALES;EA2091;Inactive;1996;2003;Unité propre;21;2;200415163U;R;renouvellement;2004
199613722M;LABORATOIRE D'INFORMATIQUE;EA2101;Inactive;1996;2007;Unité propre;21;2;;;;
199213470F;CENTRE DE RECHERCHES  DE FINANCES PUBLIQUES ET FISCALITE;EA1478;Inactive;1992;2004;Unité propre;21;2;;;;
199213473J;RECHERCHE SUR LE FRANCAIS CONTEMPORAIN;EA1483;Inactive;1992;2013;Unité propre;21;2;201420899K;EF;éclatement - fusion;2014
199213475L;CENTRE DE RECHERCHE SUR L'INSTITUTION LITTERAIRE;EA1485;Inactive;1992;2004;Unité propre;21;2;;;;
199513642E;GROUPE DE RECHERCHE EN HISTOIRE IMMEDIATE;EA1937;Inactive;1995;2006;Unité mixte;22;2;;;;
199513655U;LABORATOIRE DE MECANIQUE APPLIQUEE;EA1962;Inactive;1995;2006;Unité propre;21;2;200715388A;EF;éclatement - fusion;2007
199513658X;CENTRE DE RECHERCHES JURIDIQUES EA1965;CRJ;Active;1995;;Unité propre;21;2;;;;
199513660Z;EQUIPE MEDIATION CULTURE CONNIASSANCE;EMC²;Inactive;1995;2015;Unité mixte;22;2;;;;
199513661A;MOYEN-AGE. RENAISSANCE. BAROQUE;EA1970;Inactive;1995;2010;Unité propre;21;2;;;;
199513665E;EQUIPE DE RECHERCHES SUR LA CRISE DE LA REPRESENTATION;EA1980;Inactive;1995;2002;Unité propre;21;2;200315017P;F;fusion;2003
199713914S;CONCEPTION DE SYSTEMES AUTOMATISES;EA2368;Inactive;1997;2002;Unité propre;21;2;;;;
199713918W;CENTRE D'ETUDES EN PSYCHOPATHOLOGIE ET PSYCHANALYSE;CEPP;Inactive;1997;2013;Equipe interne;1;1;;;;
199713924C;BIOLOGIE ET BIOMATERIAUX DU MILIEU BUCCAL ET OSSEUX;EA2380;Inactive;1997;2000;Unité propre;21;2;;;;
199713927F;"GROUPE ""MODELISATION PHYSIQUE ET INTERFACES BIOLOGIE""";EA2383;Inactive;1997;2004;Unité propre;21;2;;;;
199713933M;PHYSIOPATHOLOGIE. PHARMACOLOGIE ET GENETIQUE CARDIOVASCULAIRE;EA2390;Inactive;1997;2004;Unité propre;21;2;200516317U;EF;éclatement - fusion;2005
199713934N;GROUPE DE RECHERCHE SUR L'INFECTION A VIH : VARIABILITE ET TROPISME CELLULAIRE, INTERACTIONS EBV-HIV;EA2391;Inactive;1997;2000;Unité propre;21;2;200114209V;E;éclatement;2001
199713937S;THERAPEUTIQUES SUBSTITUTIVES EN OPHTALMOLOGIE ET PHYSIOLOGIE DE L'OEIL;EA2395;Inactive;1997;2000;Unité propre;21;2;200114767B;E;éclatement;2001
199713939U;BIOLOGIE ET PHYSIOLOGIE DES INTERACTIONS NEURO-RESPIRATOIRES ET CARDIO-PULMONAIRES;EA2397;Inactive;1997;2013;Unité propre;21;2;201420918F;R;renouvellement;2014
199713940V;CENTRE D'ECONOMIE POLITIQUE DE LA MONDIALISATION;EA2398;Inactive;1997;2000;Unité propre;21;2;200114668U;F;fusion;2001
199713942X;PROLIFERATEURS DE PEROXYSOMES;EA2402;Inactive;1997;2000;Unité propre;21;2;;;;
199513950P;PHARMACOCHIMIE ET BIOMOLECULES;EA2414;Inactive;1995;2006;Unité propre;21;2;;;;
199713953J;ANALYSE CHIMIQUE PAR RECONNAISSANCE MOLECULAIRE;EA2417;Inactive;1997;2006;Unité mixte;22;2;200711920F;F;fusion;2007
199613742J;IDENTITE ET SUBJECTIVITE;;Active;1996;;Unité propre;21;2;;;;
199613750T;LABORATOIRE D'INGENIERIE LINGUISTIQUE ET DE LINGUISTIQUE APPLIQUEE;EA2140;Inactive;1996;2003;Unité propre;21;2;;;;
199613756Z;EGYPTE PHARAONIQUE;EA2150;Inactive;1996;2007;Unité propre;21;2;;;;
199613767L;VECTORISATION PARTICULAIRE;EA2169;Inactive;1996;2003;Unité propre;21;2;;;;
200013771Y;NEUROENDOCRINOLOGIE MORPHOFONCTIONNELLE;EA2174;Inactive;2000;2003;Unité propre;21;2;200415181N;F;fusion;2004
199613833H;Centre Lucien Febvre;;Active;1996;;Unité mixte;22;2;;;;
199613837M;LABORATOIRE D'INFORMATIQUE DE L'UNIVERSITE DE FRANCHE-COMTE (LIFC);EA2282;Inactive;1996;2003;Unité propre;21;2;;;;
199613839P;INTERACTION HOTE-GREFFON ET INGENIERIE CELLULAIRE ET GENIQUE EN TRANSPLANTATION;EA2284;Inactive;1996;2003;Unité propre;21;2;;;;
199713842N;IMAGINAIRE, REPRESENTATIONS, IDEOLOGIES, SOCIETE DANS L'ANGLETERRE DU XVI`me ET XVII`me SIECLES (IRIS);EA2289;Inactive;1997;2000;Unité propre;21;2;;;;
199713844R;INTEGRATION ET COOPERATION DANS L'ESPACE EUROPEEN;ICEE;Active;1997;;Unité propre;21;2;;;;
199713849W;LABORATOIRE DE DROIT SOCIAL;EA2296;Inactive;1997;2000;Unité propre;21;2;200114659J;F;fusion;2001
199713850X;DROIT ET SCIENCES BIOLOGIQUE ET MEDICALE;EA2297;Inactive;1997;2000;Unité propre;21;2;200114661L;F;fusion;2001
199713852Z;THEORIES DU POLITIQUE, POUVOIR ET RELATIONS SOCIALES;EA2299;Inactive;1997;2013;Unité propre;21;2;200918478A;I;intégration;2014
199713857E;COGNITION, RAISONNEMENT ET DIDACTIQUE;EA2305;Inactive;1997;2004;Unité propre;21;2;;;;
199713859G;LABORATOIRE DE PHARMACOLOGIE ET DE PHYSIOLOGIE RENOVASCULAIRES;EA2307;Inactive;1997;2000;Unité propre;21;2;;;;
199713868S;INSTITUT DE DROIT COMPARE;EA2316;Inactive;1997;2000;Unité propre;21;2;200114676C;F;fusion;2001
199713879D;RECHERCHE EN EXEGESE BIBLIQUE (EREB);EA2328;Inactive;1997;2008;Unité propre;21;2;;;;
199713881F;GROUPE DE RECHERCHES INTERTESTAMENTAIRES;EA2330;Inactive;1997;2004;Unité propre;21;2;;;;
199713887M;LABORATOIRE D'INGENIERIE DES SYSTEMES MECANIQUES ET DES MATERIAUX;LISMMA;Inactive;1997;2014;Unité mixte;22;2;201521793C;F;fusion;2015
199713905G;CENTRE DE RECHERCHES ESPACES, SOCIETES, CULTURES;CRESC;Inactive;1997;2013;Unité propre;21;2;201420821A;F;fusion;2014
199713907J;GROUPE DE RECHERCHE SUR LES RESSOURCES EDUCATIVES ET CULTURELLES (GREC);EA2358;Inactive;1997;2004;Unité propre;21;2;;;;
199713908K;CIBLAGE ET IMAGERIE FONCTIONNELLE  DE LA PROGRESSION TUMORALE;EA2360;Inactive;1997;2004;Unité propre;21;2;;;;
199713911N;Laboratoire de recherche en gestion et économie (EA 2364 - UR 2364);LaRGE;Active;1997;;Unité propre;21;2;;;;
200114209V;GÉNÉTIQUE VIRALE MOLÉCULAIRE;EA3500;Inactive;2001;2008;Unité propre;21;2;;;;
200314211N;CENTRE D'ETUDES DE LA PENSEE ET DES SYSTEMES ECONOMIQUES ET SOCIAUX;EA3700;Inactive;2003;2006;Unité propre;21;2;;;;
200714216B;CENTRE D'ETUDE DES MEDIAS DE L'INFORMATION ET DE LA COMMUNICATION - (CEMIC);EA4200;Inactive;2007;2008;Unité propre;21;2;;;;
200814217Y;MOUVEMENTS INTERNATIONAUX ET GOUVERNANCE;MIG;Inactive;2008;2011;Unité propre;21;2;;;;
199814219U;PHYSIOLOGIE DE LA DIFFERENCIATION VEGETALE;EA2702;Inactive;1998;2001;Unité propre;21;2;"200214843E;200214844F";"E;E";"éclatement;éclatement";"2002;2002"
199713960S;LABORATOIRE D'INSTRUMENTATION ET DE MATERIAUX D'ANNECY (LAIMAN);EA2428;Inactive;1997;2006;Unité propre;21;2;200715388A;EF;éclatement - fusion;2007
199813965T;RECONNAISSANCE, APPRENTISSAGE ET PERCEPTION DANS LES IMAGES A PARTIR DE DONNEES (RAPID);EA2433;Inactive;1998;2001;Unité propre;21;2;;;;
199813967V;EQUIPE DE RECHERCHE EN EPIDEMIOLOGIE PERINATALE ET PATHOLOGIES GENETIQUES (EREPPG);EA2435;Inactive;1998;2001;Unité propre;21;2;;;;
199813975D;CENTRE DE RECHERCHE EN HISTOIRE, CIVILISATIONS ET CULTURES DES PAYS DU MONDE OCCIDENTAL (CRHICC);EA2444;Inactive;1998;2007;Unité propre;21;2;200815571V;F;fusion;2008
199813977F;CENTRE D'ANALYSE DU MESSAGE LITTERAIRE ET ARTISTIQUE (CAMELIA);EA2446;Inactive;1998;2007;Unité propre;21;2;200815571V;F;fusion;2008
199813984N;TEMPS, EMOTION ET COGNITION : INTERACTIONS BIOPSYCHOSOCIALES;EA2453;Inactive;1998;2005;Unité propre;21;2;200615318D;F;fusion;2006
199813987S;CENTRE ERIC WEIL;EA2456;Inactive;1998;2005;Unité propre;21;2;200612815H;F;fusion;2006
199813989U;CENTRE DE RECHERCHE HANDICAP-COGNITION-COMMUNICATION;EA2458;Inactive;1998;2001;Unité propre;21;2;;;;
199814012U;INSTITUT D'HISTOIRE DE LA REVOLUTION FRANCAISE (IHRF);EA2481;Inactive;1998;2005;Unité propre;21;2;;;;
199814017Z;CENTRE DE RECHERCHES DE L'IEDES (CRI);EA2486;Inactive;1998;2007;Unité propre;21;2;;;;
199814018A;CENTRE D'ETUDES ET DE RECHERCHES EN DROIT PUBLIC ECONOMIQUE (CERDPE);EA2487;Inactive;1998;2001;Unité propre;21;2;;;;
199814026J;DEPARTEMENT UNIVERSITAIRE DE RECHERCHE CLINIQUE;EA2495;Inactive;1998;2001;Unité propre;21;2;;;;
199814031P;REPARATION DE L'ADN ET DEGENERESCENCES RETINIENNES;EA2502;Inactive;1998;2009;Unité propre;21;2;;;;
199814032R;LABORATOIRE DES AFFECTIONS VIRALES ET TUMORALES DU SYSTEME IMMUNITAIRE - LAVETSI;EA2503;Inactive;1998;2001;Unité propre;21;2;;;;
199814033S;GASTROENTEROLOGIE ET NUTRITION DE L'ENFANT;EA2504;Inactive;1998;2001;Unité propre;21;2;;;;
199814041A;Unite bi-site Paris 5-Paris 10, dont l'intitule commun et le responsable sont a definir. CENTRE D'ETUDE ET DE RECHERCHE SUR LES POPULATIONS AFRICAINES ET ASIATIQUES (a Paris 5);EA2512;Inactive;1998;2001;Unité propre;21;2;;;;
199814045E;CENTRE DE RECHERCHES EN DROIT MEDICAL;EA2516;Inactive;1998;2009;Unité propre;21;2;;;;
199814061X;CENTRE D'ETUDES ET DE RECHERCHES : FONDEMENTS DU DROIT PUBLIC;EA2532;Inactive;1998;2009;Unité propre;21;2;;;;
199814067D;CENTRE D'ETUDE DES NORMES JURIDIQUES;EA2538;Inactive;1998;2005;Unité propre;21;2;;;;
199814069F;LABORATOIRE DE GENOMIQUE  RADIOBIOLOGIE DU KERATINOCYTE;EA2541;Inactive;1998;2009;Unité propre;21;2;;;;
199814087A;PATRIMOINES MUSICAUX;EA2560;Inactive;1998;2005;Unité propre;21;2;;;;
199814089C;LITTERATURES D'ESPAGNE DE LA PRE-RENAISSANCE AUX LUMIERES;EA2562;Inactive;1998;2005;Unité propre;21;2;200615328P;F;fusion;2006
199814102S;HISTOIRE DES RELIGIONS;EA2575;Inactive;1998;2005;Unité propre;21;2;;;;
199814104U;LITTERATURES FRANCAISES DU XXEME SIECLE;EA2577;Inactive;1998;2009;Unité propre;21;2;;;;
199613786G;OBSERVATOIRE DE LA SOCIETE BRITANNIQUE;EA2203;Inactive;1996;2003;Unité propre;21;2;;;;
199613789K;CENTRE UNIVERSITAIRE D'ETUDES ET DE RECHERCHES MEDIEVALES D'AIX;EA2207;Inactive;1996;2007;Unité propre;21;2;;;;
199613794R;LABORATOIRE DES COLLISIONS ELECTRONIQUES ET ATOMIQUES;EA2214;Inactive;1996;2007;Unité propre;21;2;200817610L;F;fusion;2008
199613796T;Lymphocyte B et Auto Immunité;LBAI;Inactive;1996;2016;Unité propre;21;2;201722606C;R;renouvellement;2017
199613797U;FACTEURS ENVIRONNEMENTAUX ET FONCTION MUSCULAIRE;EA2217;Inactive;1996;2003;Unité propre;21;2;200415139T;F;fusion;2004
199613799W;Géoarchitecture. conception, aménagement et gestion du cadre bâti et de l'environnement : doctrines et pratiques;EA2219;Inactive;1996;2016;Unité mixte;22;2;201722463X;EF;éclatement - fusion;2017
199613803A;CONNAISSANCE ORGANISATION ET SYSTEMES TECHNIQUES;COSTECH;Active;1996;;Unité propre;21;2;;;;
199613809G;MEDICAMENTS ET NUTRACEUTIQUES DU STRESS OXYDATIF ET LIPIDES BIOACTIFS;EA2231;Inactive;1996;2003;Unité propre;21;2;;;;
199613810H;HEMATOLOGIE ET BIOLOGIE DES CELLULES SANGUINES;EA2233;Inactive;1996;2003;Unité propre;21;2;200415149D;F;fusion;2004
199413818A;LES CULTURES DE L'EUROPE ET DE LA MEDITERRANEE, DES AGES DES METAUX A LA FIN DE L'ANTIQUITE;EA2245;Inactive;1994;2005;Unité propre;21;2;200615359Y;E;éclatement;2006
199614166V;INFORMATION, COORDINATION, INCITATIONS;EA2652;Inactive;1996;2016;Unité mixte;22;2;201722304Z;F;fusion;2017
199814169P;LABORATOIRE D'INFORMATIQUE FONDAMENTALE ET APPLIQUEE DE ROUEN (LIFAR);EA2655;Inactive;1998;2005;Unité propre;21;2;200615352R;F;fusion;2006
199614173C;ECOPHYSIOLOGIE MARINES INTEGREE;EA2663;Inactive;1996;2007;Unité mixte;22;2;;;;
199814177Y;BIOPHYSIQUE DES HANDICAPS SENSORIELS;EA2667;Inactive;1998;2011;Unité propre;21;2;201220182P;F;fusion;2012
199814179A;DEVELOPPEMENT TUMORAL : INTERACTIONS ET FACTEURS PARACRINES;EA2671;Inactive;1998;2003;Unité propre;21;2;;;;
199814181C;GROUPE DE NEUROBIOLOGIE FONDAMENTALE ET CLINIQUE;EA2674;Inactive;1998;2003;Unité propre;21;2;;;;
199814190M;EPIDEMIOLOGIE DES FACTEURS DE SUSCEPTIBILITE GENETIQUE DES MALADIES CHRONIQUES DEGENERATIVES;EA2685;Inactive;1998;2001;Unité propre;21;2;;;;
199814191N;AUTO ET ALLO RÉACTIVITÉ : EMPREINTES SUR LES RÉPONSES LYMPHOCITAIRES T ET B;EA2686;Inactive;1998;2014;Unité propre;21;2;200616455P;I;intégration;2015
199814193R;BIOLOGIE ET PHYSIOLOGIE DES ETATS SEPTIQUES;EA2689;Inactive;1998;2009;Unité propre;21;2;;;;
199814204C;LABORATOIRE D'AUTOMATIQUE I3D (INTERACTION, IMAGE ET INGENIERIE DE LA DECISION);EA2700;Inactive;1998;2001;Unité propre;21;2;;;;
199814121M;LABORATOIRE DE GENIE MECANIQUE ET MATERIAUX (LG2M);EA2595;Inactive;1998;2007;Unité propre;21;2;200815487D;F;fusion;2008
199814126T;LABORATOIRE D'ETUDE DES MATERIAUX ET DES COMPOSANTS POUR L'ELECTRONIQUE (LEMCEL);EA2601;Inactive;1998;2009;Unité propre;21;2;;;;
199814135C;EQUIPE DE RECHERCHE INTERDISCIPLINAIRE SUR LA GRANDE-BRETAGNE, L'IRLANDE ET L'AMERIQUE DU NORD;ERIBIA;Active;2008;;Unité propre;21;2;;;;
199914286M;NEUROBIOLOGIE DES AFFECTIONS DE LA MYELINE;EA2966;Inactive;1999;2010;Unité propre;21;2;;;;
199914291T;LABORATOIRE EPISTEME;EA2971;Inactive;1999;2010;Unité propre;21;2;;;;
199914295X;UNITE DE NUTRITION ET NEUROSCIENCES (U2NS);EA2975;Inactive;1999;2010;Unité mixte;22;2;;;;
199914300C;UNITE DE BIOCHIMIE-PHARMACOLOGIE-TOXICOLOGIE;EA2980;Inactive;1999;2002;Unité propre;21;2;200314933Y;E;éclatement;2003
199914302E;LABORATOIRE DE THEORIE DES SYSTEMES;EA2982;Inactive;1999;2002;Unité propre;21;2;200314952U;F;fusion;2003
199914314T;SIGNALISATION CELLULAIRE NORMALE ET TUMORALE;EA2995;Inactive;1999;2004;Unité propre;21;2;200511873N;EF;éclatement - fusion;2005
199914319Y;IDENTITES , TERRITOIRES, EXPRESSIONS, MOBILITES;ITEM;Active;1999;;Unité propre;21;2;;;;
199914325E;GENIE DES PROCEDES ET SCIENCES DES ALIMENTS;EA3008;Inactive;1999;2002;Unité propre;21;2;;;;
199914331L;ENVIRONNEMENT AQUATIQUE;EA3015;Inactive;1999;2002;Unité propre;21;2;;;;
199914332M;CENTRE D'ETUDES SUR LES MODES DE LA REPRESENTATION ANGLOPHONE;CEMRA;Inactive;1999;2014;Unité propre;21;2;201521274N;F;fusion;2015
199914336S;ETUDES IBERIQUES. LATINO-AMERICAINES ET LUSOPHONES;EA3020;Inactive;1999;2010;Unité propre;21;2;;;;
199914337T;LABORATOIRE DE PSYCHOLOGIE EXPERIMENTALE DE LA MEMOIRE ET DE LA COGNITION : LAMECO;EA3021;Inactive;1999;2006;Unité propre;21;2;;;;
199914345B;PHARMACOPHORES, REDOX, PHYTOCHIMIE ET RADIOBIOLOGIE;EA3030;Inactive;1999;2002;Unité propre;21;2;;;;
199914352J;NEUROBIOLOGIE DE L'INSECTE;EA3037;Inactive;1999;2002;Unité propre;21;2;;;;
199914356N;DIDACTIQUE ET INFORMATIQUE POUR L'ENSEIGNEMENT DES MATHEMATIQUES;EA3041;Inactive;1999;2002;Unité propre;21;2;200314964G;F;fusion;2003
199914359S;CENTRE D'ETUDES ET DE RECHERCHE SUR LA VIE ECONOMIQUE DES PAYS ANGLO-SAXONS (CERVEPAS);EA3044;Inactive;1999;2004;Unité propre;21;2;;;;
199914362V;INSTITUT DE RECHERCHE EN DROIT DES AFFAIRES;EA3047;Active;1999;;Unité propre;21;2;;;;
199914372F;EQUIPE D'ANALYSE NUMERIQUE DE SAINT-ETIENNE;EA3058;Inactive;1999;2004;Unité propre;21;2;200515245D;F;fusion;2005
199814144M;LABORATOIRE DE GENETIQUE CELLULAIRE ET MOLECULAIRE;EA2622;Inactive;1998;2003;Unité propre;21;2;200412242U;F;fusion;2004
199614158L;LABORATOIRE D'ÉTUDES DES BIO-INDICATEURS ACTUELS ET FOSSILES;EA2644;Inactive;1996;2011;Unité propre;21;2;;;;
200014440A;LABORATOIRE HISTOLOGIE-EMBRYOLOGIE ANGERS (LHEA);EA3141;Inactive;2000;2003;Unité propre;21;2;;;;
200014443D;CENTRE DE RECHERCHE INTER-LANGUES ANGEVIN (CRILA);EA3144;Inactive;2000;2007;Unité propre;21;2;;;;
200014448J;Laboratoire d'études et de recherche en sociologie;LABERS;Active;2000;;Unité mixte;22;2;;;;
200014451M;LABORATOIRE D'HISTOIRE : TERRITOIRES, POUVOIRS, IDENTITES;EA3152;Inactive;2000;2009;Unité propre;21;2;;;;
200014452N;LABORATOIRE DE CARACTERISATION NON DESTRUCTIVE  (LCND);EA3153;Inactive;2000;2003;Unité propre;21;2;;;;
200014457U;CENTRE DE RECHERCHE SUR L'ANALYSE ET L'INTERPRETATION DES TEXTES EN MUSIQUE ET DANS LES ARTS DU SPECTACLE;RITM;Inactive;2000;2011;Unité propre;21;2;201220285B;F;fusion;2012
200014458V;LABORATOIRE INTERDISCIPLINAIRE RÉCITS CULTURES ET SOCIÉTÉS;LIRCES;Active;2000;;Unité propre;21;2;;;;
200014464B;LABORATOIRE DE MATHEMATIQUES IMAGE  ET APPLICATIONS;EA3165;Active;2000;;Unité propre;21;2;;;;
200014467E;LABORATOIRE DE BIOLOGIE ET ENVIRONNEMENT MARINS;EA3168;Inactive;2000;2003;Unité propre;21;2;;;;
199814227C;VIRUS, NEURONE ET IMMUNITE;EA2711;Inactive;1998;2001;Unité propre;21;2;;;;
199814234K;LABORATOIRE DE GEOMORPHOLOGIE;EA2718;Inactive;1998;2001;Unité propre;21;2;;;;
199814238P;FILM ET SCIENCES HUMAINE (FSH);EA2722;Inactive;1998;2001;Unité propre;21;2;;;;
199814240S;THEOLOGIES, PHILOSOPHIES ET ARTS DANS L'ESPACE RELIGIEUX OCCIDENTAL (XVIE - XXE SIECLES);EA2724;Inactive;1998;2005;Unité propre;21;2;;;;
199814242U;LABORATOIRE MATERIAUX - ENDOMMAGEMENT - FIABILITE - INGENIERIE DES PROCEDES;EA2727;Inactive;1998;2010;Unité mixte;22;2;201119386D;F;fusion;2011
199914254C;CENTRE DE RECHERCHE SUR LE SPORT ET LE MOUVEMENT;CeRSM;Inactive;1999;2019;Unité propre;21;2;202023849R;E;éclatement;2020
199914258G;GESTION INDUSTRIELLE. LOGISTIQUE ET CONCEPTION (GILCO);EA2935;Inactive;1999;2006;Unité propre;21;2;200717447N;EF;éclatement - fusion;2007
199914260J;STRESS CARDIOVASCULAIRES ET PATHOLOGIES ASSOCIEES;EA2937;Inactive;1999;2002;Unité propre;21;2;"200315014L;200315015M";"EF;E";"éclatement - fusion;éclatement";"2003;2003"
199914262L;VIROLOGIE MOLECULAIRE ET STRUCTURALE: INTERACTIONS MOLÉCULAIRES VIRUS-CELLULE DANS LA PERSISTANCE VIRALE;EA2939;Inactive;1999;2004;Unité propre;21;2;;;;
199914271W;CENTRE DE DROIT DE LA CONSOMMATION ET DES OBLIGATIONS;EA2951;Inactive;1999;2006;Unité propre;21;2;200715387Z;F;fusion;2007
199914276B;INSTITUT FEDERATIF DE RECHERCHE SUR LES DYNAMIQUES ECONOMIQUES (IFREDE);EA2956;Inactive;1999;2002;Unité propre;21;2;200314926R;EF;éclatement - fusion;2003
200114716W;LABORATOIRE D'INSTRUMENTATION ELECTRONIQUE DE NANCY;EA3440;Inactive;2001;2012;Unité mixte;22;2;;;;
200114717X;CYTOGENETIQUE MOLECULAIRE HUMAINE;EA3441;Inactive;2001;2004;Unité propre;21;2;200515257S;EF;éclatement - fusion;2005
200114718Y;ASPECTS CELLULAIRES ET MOLÉCULAIRES DE LA REPRODUCTION ET DU DÉVELOPPEMENT;EA3442;Inactive;2001;2008;Unité propre;21;2;;;;
200114721B;BIOCHIMIE DES BACTERIES GRAM + : CLOSTRIDIA ET BACTERIES LACTIQUES;EA3445;Inactive;2001;2004;Unité propre;21;2;;;;
200014531Z;SCIENCES ET METHODES SEPARATIVES;SMS;Active;2000;;Unité propre;21;2;;;;
200014533B;SPECIFICITE GENETIQUE ET PATHOLOGIES EN MILIEU MEDITERRANEEN;EA3235;Inactive;2000;2003;Unité propre;21;2;;;;
200014538G;GROUPE D'ETUDE ET DE RECHERCHE EN SCIENCES DE L'INFORMATION ET DE LA CONNAISSANCE (GERSIC);EA3240;Inactive;2000;2007;Unité mixte;22;2;200815499S;EF;éclatement - fusion;2008
200014542L;INSTITUT DE RECHERCHE EUROPE-ASIE;EA3244;Inactive;2000;2007;Unité propre;21;2;;;;
200014547S;CELLULES HEMATOPOIETIQUES, HEMOSTASE ET GREFFE;EA3249;Inactive;2000;2003;Unité propre;21;2;"200415113P;200415115S";"E;E";"éclatement;éclatement";"2004;2004"
200014552X;LABORATOIRE DE PHYSIQUE DES ISOLANTS ET D'OPTRONIQUE (LPIO);EA3254;Inactive;2000;2003;Unité propre;21;2;;;;
200014555A;LABORATOIRE DE PHOTOBIOLOGIE DES CANCERS EN NEUROCHIRURGIE ET CANCEROLOGIE GENERALE;EA3257;Inactive;2000;2003;Unité propre;21;2;;;;
200014559E;CENTRE  DE RECHERCHE EN GESTION DE NANTES-ATLANTIQUE (CRGNA);EA3261;Inactive;2000;2007;Unité propre;21;2;200815509C;F;fusion;2008
200014561G;LABORATOIRE MANCEAU DE MATHEMATIQUES;LMM;Active;2000;;Unité propre;21;2;;;;
200014563J;LABORATOIRE DE BIOLOGIE ET GENETIQUE EVOLUTIVE;EA3265;Inactive;2000;2007;Unité propre;21;2;;;;
200014569R;LITTERATURE ET HISTOIRE;EA3271;Inactive;2000;2007;Unité propre;21;2;200815467G;F;fusion;2008
200014584G;MODELISATION PHARMACOCINETIQUE - PHARMACODYNAMIE APPLICATIONS EN HEPATOLOGIE ET EN ONCOLOGIE;EA3286;Inactive;2000;2007;Unité propre;21;2;;;;
200014587K;PHYSIOPATHOLOGIE DES REGULATIONS EPITHELIALES;EA3289;Inactive;2000;2003;Unité propre;21;2;;;;
200014588L;REGULATION GENIQUE ET FONCTIONNELLE ET MICROSCOPIE CHAMP PROCHE;EA3290;Inactive;2000;2007;Unité propre;21;2;;;;
